componente,varianza_explicada,varianza_acumulada
1,0.15391355104855195,0.15391355104855195
2,0.04815473439338354,0.2020682854419355
3,0.03944009594197546,0.24150838138391095
4,0.022172761757351042,0.263681143141262
5,0.022234572566541055,0.28591571570780305
6,0.01828160475747247,0.30419732046527553
7,0.014026583956252085,0.3182239044215276
8,0.013183502551040206,0.3314074069725678
9,0.010129675808419884,0.3415370827809877
10,0.008823575807532286,0.35036065858852
11,0.007747288270048653,0.35810794685856867
12,0.007670453826655819,0.3657784006852245
13,0.007180933765058867,0.37295933445028334
14,0.006307011585726264,0.3792663460360096
15,0.006212559167444834,0.38547890520345446
16,0.005941208577828542,0.391420113781283
17,0.005505292573571959,0.39692540635485496
18,0.005376669483121045,0.402302075837976
19,0.005179342839721042,0.40748141867769705
20,0.005031886575019876,0.4125133052527169
21,0.004809096359762565,0.41732240161247947
22,0.004705275161523458,0.42202767677400294
23,0.004662891068246245,0.4266905678422492
24,0.004536941661826098,0.4312275095040753
25,0.004300552268613767,0.43552806177268905
26,0.004232325089781646,0.4397603868624707
27,0.004192281766230072,0.4439526686287008
28,0.004062589091081313,0.4480152577197821
29,0.004012945920774886,0.452028203640557
30,0.003980336820343592,0.4560085404609006
31,0.003947250613391614,0.45995579107429224
32,0.003779914046371335,0.4637357051206636
33,0.0037256027908023005,0.4674613079114659
34,0.0036525638850068804,0.4711138717964728
35,0.003621023910099059,0.47473489570657185
36,0.0035952201768972526,0.4783301158834691
37,0.003513584966948714,0.4818437008504178
38,0.00349609530626898,0.48533979615668676
39,0.0034413559276466332,0.48878115208433337
40,0.003379841884838644,0.492160993969172
41,0.0033181651929361394,0.49547915916210816
42,0.0032919215688578165,0.498771080730966
43,0.003225178526914811,0.5019962592578808
44,0.0031980172859582957,0.5051942765438391
45,0.0031565160135149954,0.508350792557354
46,0.0031194295268655394,0.5114702220842196
47,0.003049528319928746,0.5145197504041483
48,0.0030317211768426983,0.517551471580991
49,0.00300068569016599,0.520552157271157
50,0.002982626637582917,0.5235347839087399
